,text,polarity Score,label
306,"langsung complexion suka bgtbgt pakai cushion originote hari pakee punya shade tan warm deep warm kali pakai tan warm cinta gampang diblend high coverage satu kulit
",5,Positive
307,"freeclaim moisturizer originote sesuai wkwkwkw bayar pack admin
",-4,Negative
308,"originote aktivitas outdoor sesuai banget
",0,Neutral
309,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah with retinol ceramide flash sale teman
",-2,Negative
310,"originote micellar water anjing kupake x gacocok alias perih bund area mata beli hanasuiemina sayang banget kerja
",-3,Negative
311,"review produk originote micellar water nyangka gede micellar water harga honest review iya wangi enak wangi rose gitu tekstunya cair warnya bening
",15,Positive
312,"pakai kakk okayy tunjukin buka dl instagram search theoriginote section filter pilih cushion filter udah tinggal dipaspasin warna kulit pakai shade terang neutral iya
",0,Neutral
313,"bucin micellar water originote botol botol tiga micellar water feels like toner ga kering ga perih mata dermatology tested made in best beauty factory kenal cosmax
",-8,Negative
314,"semenjak nambahin retinol tahap skincare asa banget kulit seger cerah sehat pake originote mula friendly kali pakai rasa cekitcekit pakai
",5,Positive
315,"cek buy get originote niaceramide sunscreen mist spf pa sunscreen spray lindung wajah sinar matahari cerah with niacinamide ceramide harga rp
",5,Positive
316,"worth micellar water sea pakai up originote pliss pendapatt
",1,Positive
317,"originote lip oil serum x ga pakai rp wtb
",1,Positive
318,"nilai urut favorit originote somethinc hooman wardah colorfit true to skin based on pakai berkalikali harga cocok kulit muka kondisi overall suka plus minus
",8,Positive
319,"jualaness segel originote moisturizer cica ori yaa exp minat rep iya
",4,Positive
320,"pakai moist originote cica sesuai cekat cekit numbuh bruntus jerawat pakai kirakira aman iya centella cica bahan beda
",-11,Negative
321,"my savior pagisiang pakai buttered malemsebelum tidur pakai lip serum originote alhamdulillah bibir cerah
",9,Positive
322,"amaterasun pergi originote azarine pakai rumah ganti
",-2,Negative
323,"teman beli originote buyget dateng barang emang vid unbox saking excitednya complain ttp btt abiss
",3,Positive
324,"pakai lippies hanasui pilih pertama lippies murah bagus nyaman hanasui finishnya ga kering shade topper pakai lip oil originote cantul
",9,Positive
325,"moisturizer originote segel exp dom cimahi oren
",0,Neutral
326,"shopee originote mugwort b clay stick mask masker wajah mugwort acne tenang wajah kencang halus
",2,Positive
327,"gais ada pakai spray originote iya pakai langsung sek nafas kayak bau banget gitu
",-1,Negative
328,"pake retinol moisturizer originote praktis udah pake retinol gausa pake moist udah kandung moistnya melembabkan
",-3,Negative
329,"sunscreen spray originote abang checkout
",0,Neutral
330,"restock originote cuman anniversary
",0,Neutral
331,"jb originote micellar water yuk diskon voc video bj
",6,Positive
332,"pakai originote kemarin buy get cungg
",1,Positive
333,"originote micellar water isi harga ingredients hyaluronic acid allantoin rosa damascena flower water deep cleansing after pakai wajah lembab segar tenang wajah ga wajah tarik
",6,Positive
334,"jajal originote glowing kit lebaran glowing aowkowk moga sesuai iya seng beli diskon free moisturizer incer terima kasih tiktokshop
",3,Positive
335,"originote micellar foam cleanser sabun cuci muka busa face wash facial cleanser bersih wajah with ceramide linknya iya
",0,Neutral
336,"shopee kirim originote retinol b serum
",2,Positive
337,"like originote cushion ringan tap busa cover muka kemarin coba giat indoor jam oksidasi
",6,Positive
338,"eh gila retinol originote ampuh hilang jerawat sulap sihir
",-2,Negative
339,"cek originote symwhite jelly booster serum moisturizer cerah rata warna kulit with symwhite glutathione
",3,Positive
340,"ready stok originote bha charcoal clay mask masker wajah mud mask originote bpom habis
",-3,Negative
341,"ini originote lip oil serum melembabkan bibir sehariann
",0,Neutral
342,"pakai originote rekomended banget cepat kempesin
",-1,Negative
343,"originote high cover serum cushion cek
",-1,Negative
344,"temu originote cicamide facial cleanser gede harga rp dapat shopee
",6,Positive
345,"rekomendasi facial wash sabun cuci muka originote micellar foam cleanser kandung amino acid ceramide bantu bersih jaga rawat lembap kulit racunskincare racunshopee shopeeaffiliate
",-8,Negative
346,"moist originote moistrurizer originote x pakai jual ga sesuai dom prabumulih sumatera selatan check out shopee
",2,Positive
347,"originote micellar foam cleanser sabun cuci muka busa face wash facial cleanser bersih wajah with ceramide dapat shopee
",0,Neutral
348,"originote micellar foam cleanser sabun cuci muka busa face wash facial cleanser bersih wajah with ceramide checkout
",0,Neutral
349,"preloved originote gluta bright b serum jual ganti merk bagus isi price link link shopee video
",-7,Negative
350,"engga pakai my goto cushion is guele originote suka
",3,Positive
351,"temu dapat originote bundle extra brightening gluta b serum jelly booster brightening moisturizer rp shopee shopeeid
",2,Positive
352,"originote diskon rp cek tokopedia
",-2,Negative
353,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah with retinol ceramide link
",-2,Negative
354,"originote high cover serum cushion harga rp dapat shopee
",6,Positive
355,"originote high cover serum cushion rp shopee shopeeid
",3,Positive
356,"rekomendasi serum anti aging samar garis halus rata warna kulit originote retinol b serum lengkap jenis vitamin a niacinamide racunskincare racunshopee shopeeaffiliate shopeeid
",-5,Negative
357,"originote peeling solution serum serum eksfoliasi via shopee dom karawang
",0,Neutral
358,"originote buy get khusus produk buy get correct me if i m wrong sunscreen clay mask ceratinol
",3,Positive
359,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak b gerak cepat selagi flashsale
",-2,Negative
360,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah linknya iya
",-2,Negative
361,"lazada buy get originote ceratinol moisturizer gede moisturizer cream pelembab wajah samar garis halus rata warna kulit encang wajah
",1,Positive
362,"originote acne b serum serum anti acne anti inflamasi rawat cegah tumbuh jerawat with salicyl checkout
",-12,Negative
363,"rekomendasi masker wajah tenang rawat kulit jerawat eksfoliasi wajah originote mugwort b clay stick mask racunskincare racunshopee shopeeaffiliate shopeeid
",-5,Negative
364,"beneran habis rest zazan pc investnya skinker ily originote
",3,Positive
365,"somethinc masuk rate thread nyebutin minus rate originote somethinc iya
",-3,Negative
366,"originote hyalurose micellar water bersih wajah pakai up remover cleansing water melembabkan wajah with hyaluronic acid shopeeid
",1,Positive
367,"ready stok originote bha charcoal clay mask masker wajah mud mask originote bpom linknya iya
",-3,Negative
368,"jb preloved retinol originote jarang after video exp dom jateng toko udah gratong xtra
",0,Neutral
369,"rekomendasi cushion high coverage originote spf pa cushion tekstur ringan full coverage finishnya matte sesuai jenis kulit racunmakeup racunskincare shopeeid shopeeaffiliate
",-4,Negative
370,"beli originate enak turut adem emang bersihinnya pengaruh ga perih
",-2,Negative
371,"cek originote in lash brow serum eye lash serum eyelash serum tebal tebal bulu mata alis biotin harga rp dapat shopee
",-3,Negative
372,"originote cicab soothing essence toner toner wajah tenang kulit merah segar wajah with centel habis
",2,Positive
373,"cek originote mugwort b clay stick mask masker wajah mugwort acne tenang wajah kencang halus with niacinamide harga rp dapat shopee
",1,Positive
374,"kemarin tunjukkin swatches all shades cushion originote bingung shade banget coba filter iya
",3,Positive
375,"rekomendasi cushion oke banget hasil cek originote high cover serum cushion harga rp dapat shopee
",8,Positive
376,"cek originote hyalurose micellar water bersih wajah pakai up remover cleansing water melembabkan wajah with hyaluronic acid harga rp dapat shopee shopeeid
",0,Neutral
377,"beli klik yaa
",1,Positive
378,"ready stok originote bha charcoal clay mask masker wajah mud mask originote bpom beli
",-2,Negative
379,"temu dapat originote high cover serum cushion rp shopee shopeeid
",5,Positive
380,"bosen rekomendasi originote gentong
",-4,Negative
381,"flash sale seru wib originote implora eyeliner etc santan bubuk gede orange essential oil etc his erha acne ayana beras premium kg
",-6,Negative
382,"flash sale originote klaim voucher toko murah urut harga rendah
",3,Positive
383,"mjb iya harga diskon plus pakai voc toko combo live
",9,Positive
384,"cek originote high cover serum cushion harga rp dapat shopee
",2,Positive
385,"originote cushion water based silicone based iya teman
",0,Neutral
386,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah beli
",-1,Negative
387,"tementemen bingung shades originote cek filter yaah
",-3,Negative
388,"originote hyalurose micellar water bersih wajah pakai up remover cleansing water melembabkan wajah with hyaluronic acid rp
",1,Positive
389,"tes oksidasinyaa review lengkap cushion originote taruh iya
",1,Positive
390,"lambat bagus gitu lhoo satu kulit tahan lambat fix beli untung harga under murah banget cushion bagus
",-5,Negative
391,"harga kakk disc guyss
",3,Positive
392,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak b beli
",2,Positive
393,"originote bundle skin soothing soothing toner soothing moisturizer harga rp dapat shopee
",3,Positive
394,"ready stok originote cicab soothing moisturizer toner wajah cerah jerawat gerak cepat selagi flashsale
",-4,Negative
395,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah cek
",-6,Negative
396,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah checkout
",-2,Negative
397,"hari amann ga longsor flawless wear coba literally pakai sering coba beli lupa coba filter pilih shade
",3,Positive
398,"cek originote symwhite jelly booster serum moisturizer cerah rata warna kulit with symwhite glutathione harga rp dapat shopee
",6,Positive
399,"special bundle in originote kit facial wash toner serum moisturizer sunscreen masker wajah acne kit glowing kit barrier kit anti aging kit exfoliating kit brightening kit harga rp dapat shopee
",5,Positive
400,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak b habis
",1,Positive
401,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak b gerak cepat
",-2,Negative
402,"help to sale preloved skincare lngsung checkout lipsvelvet brasov serum originote moisturizer
",2,Positive
403,"harga murah banget under bagus kayak butuh refill jinot yuk
",2,Positive
404,"moist originote kak request barang langsung komen
",3,Positive
405,"preloved originote barangkali minat jb
",4,Positive
406,"ready stok originote cicab soothing moisturizer toner wajah cerah jerawat dapat shopee
",-1,Negative
407,"cek originote special bundle in kit acne kit glowing kit barrier kit anti aging kit exfoliating kit brightening kit harga rp dapat shopee
",1,Positive
408,"originote ceratinol moisturizer retinol cream gel serum pelembab wajah samar garis halus encang wajah gerak cepat
",-5,Negative
409,"gladglow bagus pilih originote
",1,Positive
410,"cek originote dayc nighta bundle pcs hyaluc serum retinol serum harga rp dapat shopee
",-1,Negative
411,"cek special bundle in originote moisturizer serum harga rp dapat shopee
",3,Positive
412,"to jual sunscreen spray originote spf pa expired harga shopee combo shopee video segel wtb sunscreen originote to jual
",0,Neutral
413,"ig tiktook langsung coba fiturnya sini
",4,Positive
414,"moist originote lipbalm pulang pergi nder
",-3,Negative
415,"serum niacin pakai serum vit c malemnya pakai retinol nampol banget serum vit c dicombo sunscreen
",3,Positive
416,"nitip iya kak
",0,Neutral
417,"originote nder pakai voc video sealed dom jogja
",1,Positive
418,"hemat originote nder
",-3,Negative
419,"cek originote bundle extra brightening gluta b serum jelly booster brightening moisturizer harga rp dapat shopee
",-1,Negative
420,"moist originote kak live request barang langsung komen
",6,Positive
421,"moist originote req barang iya langsung komen
",3,Positive
422,"originote hyalurose micellar water bersih wajah pakai up remover cleansing water melembabkan wajah with hyaluronic acid harga rp dapat shopee
",4,Positive
423,"originote vit c gluta bright kak checkout pakai shopee video diskon
",3,Positive
424,"temu originote bundle pcs niaceramide sunscreen mist spf pa harga rp dapat shopee
",0,Neutral
425,"temu dapat special bundle in originote paket skincare moisturizer serum toner acne kit glowing kit barrier kit anti aging kit exfoliating kit shopee shopeeid trend trendingnow trend skincare viral
",6,Positive
426,"originote niaceramide sunscreen mist spf pa sunscreen spray lindung wajah sinar matahari cerah with niacinamide ceramide harga rp dapat shopee
",9,Positive
427,"packaging originote ceratinol moisturizer retinol cream gel serum pelembab wajah harga shopee produk jamin original dapat hadiah beli ready kirim chat packing jamin aman
",16,Positive
428,"cek originote bundle pcs niaceramide sunscreen mist spf pa harga rp dapat shopee
",-6,Negative
429,"retinol originote b serum price sealed preloved req live oren exp ori langsung checkout official store oren ga pakai jahat kelamin cream dokter dom depok t to sale serum jerawat
",-3,Negative
430,"coba capcipcup originote
",1,Positive
431,"moist brightening serum originote beli hitam jabodetabek diskon ongkos kirim checkout by shopee video diskon khusus
",3,Positive
432,"harga size gin worth it banget pakai bulan
",5,Positive
433,"filter coba instagram tiktok yaah linknya gausah ngubekngubek lagi
",-3,Negative
434,"serum astachiol originote nego yaa req barang langsung komen
",3,Positive
435,"pakai originote lumayan cepat tebel lambat efek signifikan bulu mata ga cepat rontokk
",-8,Negative
436,"cek special bundle in originote paket skincare face wash toner serum moisturizer sunscreen acne kit glowing kit barrier kit anti aging kit exfoliating kit brightening kit harga rp dapat shopee
",3,Positive
437,"originote cicamide facial cleanser face wash facial wash sabun cuci muka cerah melembabkan wajah with ceramide niacinamide harga rp dapat shopee
",8,Positive
438,"cek originote ceraluronic essence toner toner melembabkan wajah jaga skin barrier with ceramide hyaluronic acid harga rp dapat shopee
",2,Positive
439,"cek originote bundle basic skincare facial wash moisturizer sunscreen harga rp dapat shopee
",-1,Negative
440,"harga
",3,Positive
441,"ready kak dom tangerang
",0,Neutral
442,"anjay coba
",-2,Negative
443,"harga before cbdiskon onix fwb parfum parfume original wangi tangerang pakai live voc shopee video wtb
",11,Positive
444,"originote bahas oksidasi lain
",0,Neutral
445,"temu dapat originote retinol b serum serum anti aging samar garis halus rata warna kulit rawat kulit jerawat with vitamin a niacinamide rp shopee shopeeid
",-6,Negative
446,"temu special bundle in originote paket skincare facial wash toner serum moisturizer acne kit glowing kit barrier kit anti aging kit exfoliating kit brightening kit harga rp dapat shopee
",9,Positive
447,"hai kak ready
",3,Positive
448,"originote harga flash sale klaim voucher toko kombo voucher langsung cek
",8,Positive
449,"originote hyaluc serum vitamin c serum vit c cerah kulit wajah kusam rata warna kulit jaga skin barrier with vitamin c hyaluronic acid
",10,Positive
450,"template kayak baca
",-4,Negative
451,"sumpah pakai up simple pakai cushion originote keren banget takut tagih beli cushion dh tobat tahun hemat
",-11,Negative
452,"tengss banget brand mudah orang nentuin shades coba cek instagram originote filter shade cushion hasil sesuai banget shade pakai
",3,Positive
453,"puasa gin kulit kd gampang kering solusi lembap pakai sheet mask csman kaya gin pakai essence toner originote affordable rban racuninskincare
",-6,Negative
454,"bingung pilih originote sea makeup beli simak dehh
",-2,Negative
455,"aslikk cari shade cushion originote sesuai kulit gampang berkat filter gausah bingung takut salah shade hayo coba filter racuninmakeup
",-12,Negative
456,"cantik banget woyy complexion ku sini cuman pakai cushion originote cuman ribu sini tunjuk swatches shade ini kulit sawo matang teamsawomatang
",-2,Negative
457,"rutin pakai skincare begadang kulit kering redness acne pakai moisturizer originote muka langsung adeem plumpy gt lt
",5,Positive
458,"moist hadalabo originote ijo bagus
",0,Neutral
459,"basenya langsung timpa pakai cushion originote shade medium neutral pakai cushion minimm banget oksidasi stayy kulit jugaa ga longsor sesuai banget bukberr pasti harga super affordable
",6,Positive
460,"struggling cari cushion lokal nyaman awet oil control juara oksidasi share bookmark thread banding cushion bagus bagus review originote skintific somethinc hooman
",10,Positive
461,"pusing pusing bingung pakai cushion originote shades yak lagilagi brand sayang mudah hidup filter cobacoba shades sesuai skintone
",-1,Negative
462,"dibandingin tiga matte originote skintific somethinc oksidasi originote somethinc skintific minimm lightweight originote skintific somethinc harga originote skintific somethinc so far suka tiga preferensi msg
",8,Positive
463,"review serum bulumata originote terima kasih
",1,Positive
464,"cm hallo bantu isi kuisioner teliti kriteria gampang guna produk moisturizer originote beli produk marketplace shopee baca ulas produk moisturizer originote marketplace cont
",1,Positive
465,"urus orang beda cushion tirtir cushion urut bawah cushion skintific originote terang beige skintific foundie tirtir laneige glow
",1,Positive
466,"hasil makeup ku excited banget cushion originote tunjuk eyeshadow pinkflash shade lashtention waterproof omg lip matte wardah
",4,Positive
467,"wtb originote facetology mascara rose all day harga potong shopee video gratong extra dom jatim
",1,Positive
468,"very firstt thing is double cleanse pagi double cleanse skip yaa pakai micellar waternya originote cleanse suka micellar water ga perih mata kulit sensitif
",-5,Negative
469,"originote micellar water ragu bimbang micellar watter sensitive skin friendly informasi micellar water dermatology tested invivo halal made pabrik baik indonesia cosmax
",-2,Negative
470,"honest ripuwnya cushion originote b eli ragu yaa terima kasih
",-2,Negative
471,"alhamdulillah cushion originote kakak udah langsung coba shadenya sesuai omg tahun ga pakai cushionn coba cushion makasii kakak zara moga sehat rejekinya lancar bahagia mauu tunjuk resultnya
",7,Positive
472,"originote korang ingin pakai retinol budget pakai retinol murah pasar kesan a bit slow banding
",5,Positive
473,"tanyarl teman beli skintint yu cushion originote ambil shade terang beige skintint yu sesuai ambil shade iya
",-7,Negative
474,"preloved cushion originote shade medium warm pakai jual salah shade dom jaktim
",0,Neutral
475,"direkomendasiin salep beli bebas apotik apk halodocnya mahal turut beli ditokoped salep pakai senka moist originote wardah
",-1,Negative
476,"originote kpcs codanter kos free ongkos kirim area unnes yaa jualaness
",5,Positive
477,"merk acne patch obat totol jerawat bagus iya pakai obat totol originote pengaruh anjing
",-10,Negative
478,"lessgoww lupa pakai primer skin prep pakai primer lanjut pakai base iya pakai cushion pakai cushion originote shade terang neutral banget kulit lt
",-7,Negative
479,"pakai cushion instaperfect shade warm olivetrue beige pakai cushion originote ga shade apaa
",2,Positive
480,"pake originote perih
",-4,Negative
481,"serum lashboss originote iya bagus alis keluh kasi cowo ultahh kasih kado
",0,Neutral
482,"oke langsung pakai cushion originote jujur launching cushion originote ga ganti cushion bagus sering
",4,Positive
483,"amavenda adabuka kumashona that is why bengasiwo amanguni they originated from congo cause thina amanguni we originate from south sudan
",0,Neutral
484,"originote hyaluc serum after voc diskon video original shopee gratis ongkos kirim chat more informasi jakarta wtb vit c cerah murah underprice live free ongkos kirim oren
",23,Positive
485,"sedih banget beli now watching originote dhl banget pakai lngsng numbuh jerawat
",-4,Negative
486,"habis basenya pakai cushion satset pakai originote luv layer udah muka ringan
",4,Positive
487,"micellar water double cleansing nomer iya skip micellar water originote gausah bahas x lebar bagus banget my st micellar water ngebersihin efek lembab kulit kering
",-3,Negative
488,"gaji iya beli garnier gede gentong bbrp kali coba cleansing balm seamakeup mata burem hbs bilas micellar waternya originote banget busa buset uang segentle garnier pink
",2,Positive
489,"ayoo angkut inihh skintint cloud touch shade c pink sand pixy primer originote ceratinol moisturizer jual sesuai yahh
",-3,Negative
490,"coba in cushion originote nggaa
",1,Positive
491,"pakai lip serum originote malam nder abiss saking pakai
",1,Positive
492,"jb skincare npure azarine facetology skin aqua originote skintific cosrx bnb lain masuk foto murce pakai voc live war voc live yaa req voc video cuss
",7,Positive
493,"urut skincare routin skip micellar water penting rumah ga mana debu kotor nempel wajah pakai micellar water originote
",-4,Negative
494,"dips beli yuk bu banget skin originote preloved senka nego minat rep iya sender
",10,Positive
495,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak b linknya iya
",1,Positive
496,"jends now watching jual micellar water originote pakai beli official store shopee nego kos mas area unsoed
",3,Positive
497,"moisturiser originote lambat serap eh maybe gel kot
",-6,Negative
498,"originote oksidasi banget
",1,Positive
499,"serum originote vit c retinol yuk gazz comboin kode glowdm
",1,Positive
500,"serum originote kak
",0,Neutral
501,"pakek originote imitasi yak
",3,Positive
502,"originote niaceramide sunscreen mist bau enak banget luar duga enak skintfc murah sekalee ceramide cepat banget abis beneran
",9,Positive
503,"beli masker originote cuman ribu pliss
",1,Positive
504,"jualaness titip serum avoskin kondisi edisi nov serum npure edisi jan serum originote retinol edisi feb
",0,Neutral
505,"even postingan ga buzzer ala ala honest review jawab plek ketiplek janji skintific originote overrated
",-5,Negative
506,"samaa originote pengaruh banget manjangin bulu mata nebelin alis
",-3,Negative
507,"now watching originote nder
",0,Neutral
508,"cek originote bundle skin soothing soothing toner soothing moisturizer harga rp dapat shopee
",-1,Negative
509,"cek special bundle in originote kit facial wash toner serum moisturizer sunscreen masker wajah acne kit glowing kit barrier kit anti aging kit exfoliating kit brightening kit harga rp dapat shopee
",1,Positive
510,"cm terima kasih moistnya originote cica
",1,Positive
511,"originote ceraluronic essence toner toner melembabkan wajah jaga skin barrier with ceramide hyaluronic acid rp
",3,Positive
512,"cek originote series facial cleanser serum moisturizer gel gede acne spot cream eye serumbpom harga rp dapat shopee
",0,Neutral
513,"nomer cushionnya originote murahh under satin to matte finish oily skin friendlylt no oksidasi lambat cakep tahan kulit ku oily gampang geser longsor x tap cover muka skincare infused shade
",-10,Negative
514,"tes tess hadiah cushion originote ikutann komen dl pakai shade apaa
",3,Positive
515,"cek originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak lebih with charcoal bha harga rp dapat shopee
",1,Positive
516,"habis exfo ga lupa pakai moisturizer kulit lembap lagi pakai originote gatau moist beli sini
",-5,Negative
517,"bcs moist originote hbs coba ganti moist mireya viral lihat bagus soon review mireya mochi mochi glow expert gel cream moisturizer gede rekomendasi moisturizer viral cerah
",7,Positive
518,"emang tidur checkout cushionnya originote moga iya
",-2,Negative
519,"kulit sawo matang pakai cushion originote pakai shade ganti cushion terima kasih
",0,Neutral
520,"cek originote micellar foam cleanser sabun cuci muka busa face wash facial cleanser bersih wajah with ceramide harga rp dapat shopee
",-1,Negative
521,"originote finishnya velvet to matte oksidasi nderr
",0,Neutral
522,"wooyy org cushion originote loose powder dazzle bagus
",0,Neutral
523,"dimarahin habis beli sunscreen beli sunscreen free sesuai originote mari alih
",-1,Negative
524,"originote gang experienceku pakai adem muka
",-1,Negative
525,"bodoh checkout micellar water originote hitam pdahal botol tauu abis bulan asuuw
",-6,Negative
526,"dips beli yuk preloved nego tipistipis iya skin teacica preloved sisa skin hyalucica preloved pakai x moist originote preloved senka
",2,Positive
527,"buka puasa tunjuk sunscreen ku bagus ah madame gie originote skintific racunshopee
",-5,Negative
528,"suka coveragenya manteb sesuai acara full hari coba skintificsomethinc originote wajib set pakai bedak cari sesuai daily ringan ga oksidasi originote jawabanya murah
",5,Positive
529,"help to sale preloved skincare lngsung checkout lipsvelvet brasov serum originote moisturizer preloved serum moizturizer lipstick velvet skincareroutine skincareproducts prelovedskincare
",2,Positive
530,"cuan originote charcoal mask sunscreen spray take all kondisi msi segel
",0,Neutral
531,"murah alias under pilih shadenya buanyak originote coverage medium to full banget dibuildable finishnya velvet to matte
",6,Positive
532,"hai teman jual cushion originote alas jual shadenya kegelapann bandung yaa harga knegotiable terima kasih youu
",8,Positive
533,"cushion finishnya velvet matte enak banget lambat warna satu crack kulit kering bingung pilih shade cushion originote bisaa cek thread iya
",-3,Negative
534,"umsfess preloved moisturizer brightening originote like
",0,Neutral
535,"ken cushion originote try on langsung mana gaberani blind buying dr ecomm takut shadesnya gamasuk
",-3,Negative
536,"reply thread produk originote penasaran ken coba pilih coin
",5,Positive
537,"yayaya pakai originote pakai shade terang warm yaa beneran suka cushion pdhl pakai pergi kendara kena panas oke
",7,Positive
538,"ready stok originote cicab soothing moisturizer toner wajah cerah jerawat linknya iya
",-1,Negative
539,"temu dapat originote dayc nighta bundle pcs hyaluc serum retinol serum rp shopee shopeeid
",2,Positive
540,"fix ga sesuai pakai originote pakai whitelab aman langsung cerah kusem
",9,Positive
541,"tunjuk teman facial wash senkasafi micelar water gantung serum implorathe originote moisturizer skin derma sunscreen implora loose powder lip product body wash zee body serumlotion marinaazarine ajasih
",-3,Negative
542,"hai ning order skincare selagi voucher shopi video cashbck sd ayo order nominal turun wtb originote moisturizer brightening cica ceratinol niaceramide sunscreen cont
",7,Positive
543,"coba originote
",1,Positive
544,"anyoba originote nunggu habis coba sea makeup abis gede galon banget buset
",6,Positive
545,"preloved cushion originote shade medium warm swatch tipis pakai tangan puff pakai nego dom jogja shopee free ongkos kirim wtt shade medium neutral wtb wtt
",12,Positive
546,"kata cari complexion oksidasi coba cushion originote
",-3,Negative
547,"now watching originote facetology yaa nder minat cuss
",4,Positive
548,"ga originote beli true to skin shade muffin
",1,Positive
549,"mas beli tab yaallah moga nular rezeki aamiin
",7,Positive
550,"coba originote mantap
",6,Positive
551,"pake retinolmoist originote pakai malam iya
",0,Neutral
552,"cek originote bundle charcoal clay mask mugwort b clay stick harga rp dapat shopee
",-1,Negative
553,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak lebih with charcoal bha harga rp dapat shopee
",5,Positive
554,"now watching originote after voc svideo barangkali minat nder
",4,Positive
555,"vuguvugu dpworld linaendelea as wananchi wakionekana kutoridhia bandar yao kupewa waarab na hata uhamisho wa kabila wamasai kutolewa originate yao iya mkoa wa arusha na kupelekwa mkoani tanga kwa ndugu zetu wasambaa nikakumbuka hata uwanja wa kia walipewa waarab nika
",-4,Negative
556,"originote finishnya velvet matte lambat glowing skin like sblm checkout coba filter cek shade
",-8,Negative
557,"cushion originote under pakai jam pksidasi
",1,Positive
558,"high coverage skintific originote skin like somethinc true to skin instaperfectt coba sihh coba cari riviewnyaa cus patok gimanaa
",-3,Negative
559,"ken banget jajanin cushion originote lihat review orang orang bagus shadenya banget wish luck terimakasih kak ngadain hadiah moga rezeki kakak lancar kebahagian sehat aminnm
",15,Positive
560,"kalap banget diskon marketplace belah
",-5,Negative
561,"moist originote request barang langsung komen
",3,Positive
562,"skintific originote glad to glow sea pakai up bare blis yaa pokok produk china ramai pasar toktok overrated asa monopoli udah act like produk lokal pdhl gk lokal ambil pasar indo
",-8,Negative
563,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak b dapat shopee
",1,Positive
564,"preloved skincare originote ceraluronic essence toner hadalabo gokujyun toner hijau azarine moisturizer intense luminous dom blitar jatim gratong link skincare
",3,Positive
565,"gils menang feyrely unke naru skintific azarine avoskin originote
",2,Positive
566,"pakai cosrx oil free originote cica b shooting
",4,Positive
567,"yuk diborongg originote kpcs pcs yaa codanter kos free ongkos kirim yak khusus jualaness
",9,Positive
568,"habis coba mugwort sticknya originote skintific better skintific ngebersihin banget banget endingnya kulit ga keset originote keset banget bilas ga ngebersihin somehow muka super cerah bilas
",-2,Negative
569,"dips preloved produk originote ga iya coba sesuai engga makasiww
",3,Positive
570,"pakai originote ijo
",1,Positive
571,"cushion originote shade terang warm banget ga buka alas jual ubah pikir checkout shade shopee freeong tokped freeong iya dom bogor
",0,Neutral
572,"mois originote serum azarine plis ambil gratis ga sesuai
",-6,Negative
573,"bingung toner originote bareng prettywell egk hllow clarifying toner hydrating exfo bingung difolbek omb nitip
",-1,Negative
574,"complexion suka banget cushionnya originote coveragenya medium to full gabikin dempul tementemen lihat tap redness darkspot lumayan tercover
",9,Positive
575,"pake udah coba cushion originote review rekomen cushion bagus aman dompet
",1,Positive
576,"sunscreen originote ga enak banget asa minyak banget kayak sesuai pakai bedak
",1,Positive
577,"jualaness moist skintific moist originote segel ori yaa minat komen iya langsung chat wa tera codanter kos area unnes
",10,Positive
578,"originote eyelash serum murce banget gilakk ga perih mata cepat serap pengaruh nebelin bulu mata lumayan manjangin
",-11,Negative
579,"sunscreen serum originote ssnya cmn pakai ga pakai muka kusem serum tinggal checkout dishopee set pack
",-1,Negative
580,"tweet review beauty enthu smakin beli cushionnya originotekali plis banget moga sesuai ye wak
",2,Positive
581,"serum hyalu c originote shampo safi hair expert shampo natur gingseng azrina charcoal mud mask barang exp aman oren video yaa
",3,Positive
582,"tahap langsung timpa pakai current suka complexion originote cushion super suka pol turut skinlike velvet finish pakai shade terang warm yaa
",1,Positive
583,"originote cushion harga murah kualitas ga murah harga coveragenya bagus tutup bekas jerawat samar suka finishnya kulit glowing minyak ringan oksidasi
",4,Positive
584,"originote preloved moisturizer serum essence toner sunblock isi pakai x take all nego dom depok jawabarat yaa oren alas jual udah pakai merk lai exp beli
",-1,Negative
585,"cushion andal beauty vlogger cushion skintific originote somethinc hanasui
",-1,Negative
586,"cushion originote pakai shade terang neutral suka banget pakai cushion coveragenya medium bangun full coverage suka ringan ga oksidasi
",14,Positive
