full_text,Text Case Folding,Text Tokenizing,Text Fill,Text Normalization,Text Stemming,Text Filtering
ada yang mau freeclaim moisturizer the originote? Aku gak cocok soalnya wkwkwkw bayar pack aj 6k sama admin,ada yang mau freeclaim moisturizer the originote aku gak cocok soalnya wkwkwkw bayar pack aj sama admin,"['ada', 'yang', 'mau', 'freeclaim', 'moisturizer', 'the', 'originote', 'aku', 'gak', 'cocok', 'soalnya', 'wkwkwkw', 'bayar', 'pack', 'saja', 'sama', 'admin']",ada yang mau freeclaim moisturizer the originote aku gak cocok soalnya wkwkwkw bayar pack saja sama admin,"['ada', 'yang', 'mau', 'freeclaim', 'moisturizer', 'the', 'originote', 'aku', 'enggak', 'cocok', 'soalnya', 'wkwkwkw', 'bayar', 'pack', 'saja', 'sama', 'admin']","['ada', 'yang', 'mau', 'freeclaim', 'moisturizer', 'the', 'originote', 'aku', 'enggak', 'cocok', 'soal', 'wkwkwkw', 'bayar', 'pack', 'saja', 'sama', 'admin']","['freeclaim', 'moisturizer', 'originote', 'cocok', 'wkwkwkw', 'bayar', 'pack', 'admin']"
@Revaaa_3 @JUALAN_AUTOBASE Toner the originote Masih ready ngga kak?,autobase toner the originote masih ready ngga kak,"['autobase', 'toner', 'the', 'originote', 'masih', 'ready', 'tidak', 'kak']",autobase toner the originote masih ready tidak kak,"['autobase', 'toner', 'the', 'originote', 'masih', 'ready', 'tidak', 'kak']","['autobase', 'toner', 'the', 'originote', 'masih', 'ready', 'tidak', 'kak']","['autobase', 'toner', 'originote', 'ready', 'kak']"
The Originote Yang aktivitasnya sering outdoor ini cocok banget https://t.co/T234LhgRUP https://t.co/EFtHSYPDS8,the originote yang aktivitasnya sering outdoor ini cocok banget,"['the', 'originote', 'yang', 'aktivitasnya', 'sering', 'outdoor', 'ini', 'cocok', 'banget']",the originote yang aktivitasnya sering outdoor ini cocok banget,"['the', 'originote', 'yang', 'aktivitasnya', 'sering', 'outdoor', 'ini', 'cocok', 'banget']","['the', 'originote', 'yang', 'aktivitas', 'sering', 'outdoor', 'ini', 'cocok', 'banget']","['originote', 'aktivitas', 'outdoor', 'cocok', 'banget']"
The Originote Ceratinol Moisturizer - Retinol Cream Gel Serum Pelembab Wajah Menyamarkan Garis Halus Mengencangkan Wajah with Retinol Ceramide. Lagi flash sale guys https://t.co/41bqmW3IHl,the originote ceratinol moisturizer retinol cream gel serum pelembab wajah menyamarkan garis halus mengencangkan wajah with retinol ceramide lagi flash sale guys,"['the', 'originote', 'ceratinol', 'moisturizer', 'retinol', 'cream', 'gel', 'serum', 'pelembab', 'wajah', 'menyamarkan', 'garis', 'halus', 'mengencangkan', 'wajah', 'with', 'retinol', 'ceramide', 'lagi', 'flash', 'sale', 'teman-teman']",the originote ceratinol moisturizer retinol cream gel serum pelembab wajah menyamarkan garis halus mengencangkan wajah with retinol ceramide lagi flash sale teman-teman,"['the', 'originote', 'ceratinol', 'moisturizer', 'retinol', 'cream', 'gel', 'serum', 'pelembab', 'wajah', 'menyamarkan', 'garis', 'halus', 'mengencangkan', 'wajah', 'with', 'retinol', 'ceramide', 'lagi', 'flash', 'sale', 'teman-teman']","['the', 'originote', 'ceratinol', 'moisturizer', 'retinol', 'cream', 'gel', 'serum', 'pelembab', 'wajah', 'samar', 'garis', 'halus', 'encang', 'wajah', 'with', 'retinol', 'ceramide', 'lagi', 'flash', 'sale', 'teman']","['originote', 'ceratinol', 'moisturizer', 'retinol', 'cream', 'gel', 'serum', 'pelembab', 'wajah', 'samar', 'garis', 'halus', 'encang', 'wajah', 'with', 'retinol', 'ceramide', 'flash', 'sale', 'teman']"
The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,"['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']",the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,"['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'ribu', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukur', 'gede', 'loh', 'ml', 'cuma', 'ribu', 'an', 'combo', 'kode', 'glowdm']","['originote', 'micellar', 'water', 'ukur', 'gede', 'ml', 'ribu', 'an', 'combo', 'kode', 'glowdm']"
Wts the originote micellar water 35k aja lah anjir baru kupake 1x tapi gacocok alias perih bund di area mata aing mau beli hanasui/emina lagi tapi ini syg banget klo nganggur #zonauang https://t.co/6Bkzss0TJ7,wts the originote micellar water aja lah anjir baru kupake tapi gacocok alias perih bund di area mata aing mau beli hanasuiemina lagi tapi ini syg banget klo nganggur,"['wts', 'the', 'originote', 'micellar', 'water', 'saja', 'lah', 'anjing', 'baru', 'kupake', 'tapi', 'gacocok', 'alias', 'perih', 'bund', 'di', 'area', 'mata', 'saya', 'mau', 'beli', 'hanasuiemina', 'lagi', 'tapi', 'ini', 'sayang', 'banget', 'kalau', 'tidak', 'punya', 'pekerjaan']",wts the originote micellar water saja lah anjing baru kupake tapi gacocok alias perih bund di area mata saya mau beli hanasuiemina lagi tapi ini sayang banget kalau tidak punya pekerjaan,"['wts', 'the', 'originote', 'micellar', 'water', 'saja', 'lah', 'anjing', 'baru', 'kupake', 'tapi', 'gacocok', 'alias', 'perih', 'bunda', 'di', 'area', 'mata', 'saya', 'mau', 'beli', 'hanasuiemina', 'lagi', 'tapi', 'ini', 'sayang', 'banget', 'kalau', 'tidak', 'punya', 'pekerjaan']","['wts', 'the', 'originote', 'micellar', 'water', 'saja', 'lah', 'anjing', 'baru', 'kupake', 'tapi', 'gacocok', 'alias', 'perih', 'bunda', 'di', 'area', 'mata', 'saya', 'mau', 'beli', 'hanasuiemina', 'lagi', 'tapi', 'ini', 'sayang', 'banget', 'kalau', 'tidak', 'punya', 'kerja']","['originote', 'micellar', 'water', 'anjing', 'kupake', 'gacocok', 'alias', 'perih', 'bunda', 'area', 'mata', 'beli', 'hanasuiemina', 'sayang', 'banget', 'kerja']"
Review produk The Originote Micellar Water Gak nyangka segede itu micellar water harganya cuma 40-an dong. Ini honest review dari gw ya wanginya menurut gw enak wangi rose gitu terus juga tekstunya cair warnya juga bening. https://t.co/VmF4tXMWoW https://t.co/kDGfbTBGKQ,review produk the originote micellar water gak nyangka segede itu micellar water harganya cuma an dong ini honest review dari gw ya wanginya menurut gw enak wangi rose gitu terus juga tekstunya cair warnya juga bening,"['review', 'produk', 'the', 'originote', 'micellar', 'water', 'gak', 'nyangka', 'segede', 'itu', 'micellar', 'water', 'harganya', 'cuma', 'an', 'dong', 'ini', 'honest', 'review', 'dari', 'saya', 'iya', 'wanginya', 'menurut', 'saya', 'enak', 'wangi', 'rose', 'gitu', 'terus', 'juga', 'tekstunya', 'cair', 'warnya', 'juga', 'bening']",review produk the originote micellar water gak nyangka segede itu micellar water harganya cuma an dong ini honest review dari saya iya wanginya menurut saya enak wangi rose gitu terus juga tekstunya cair warnya juga bening,"['review', 'produk', 'the', 'originote', 'micellar', 'water', 'enggak', 'menyangka', 'segede', 'itu', 'micellar', 'water', 'harganya', 'cuma', 'an', 'dong', 'ini', 'honest', 'review', 'dari', 'saya', 'iya', 'wanginya', 'menurut', 'saya', 'enak', 'wangi', 'rose', 'begitu', 'terus', 'juga', 'tekstunya', 'cair', 'warnya', 'juga', 'bening']","['review', 'produk', 'the', 'originote', 'micellar', 'water', 'enggak', 'sangka', 'gede', 'itu', 'micellar', 'water', 'harga', 'cuma', 'an', 'dong', 'ini', 'honest', 'review', 'dari', 'saya', 'iya', 'wangi', 'turut', 'saya', 'enak', 'wangi', 'rose', 'begitu', 'terus', 'juga', 'tekstunya', 'cair', 'warnya', 'juga', 'bening']","['review', 'produk', 'originote', 'micellar', 'water', 'sangka', 'gede', 'micellar', 'water', 'harga', 'an', 'honest', 'review', 'iya', 'wangi', 'enak', 'wangi', 'rose', 'tekstunya', 'cair', 'warnya', 'bening']"
gimana sih cara pakainya kakk? okayy aku tunjukin yah. kalian buka dl instagram terus search theoriginote. nah di section filter kalian pilih cushion filter. udh deh tinggal dipas-pasin sama warna kulit km. kl aku pas pakai shade light neutral ya~ https://t.co/zYGoqhAC2U,gimana sih cara pakainya kakk okayy aku tunjukin yah kalian buka dl instagram terus search theoriginote nah di section filter kalian pilih cushion filter udh deh tinggal dipaspasin sama warna kulit km kl aku pas pakai shade light neutral ya,"['bagaimana', 'sih', 'cara', 'pakainya', 'kakk', 'okayy', 'aku', 'tunjukin', 'yah', 'kalian', 'buka', 'dl', 'instagram', 'terus', 'search', 'theoriginote', 'nah', 'di', 'section', 'filter', 'kalian', 'pilih', 'cushion', 'filter', 'udah', 'deh', 'tinggal', 'dipaspasin', 'sama', 'warna', 'kulit', 'kamu', 'kalau', 'aku', 'pas', 'memakai', 'shade', 'terang', 'neutral', 'iya']",bagaimana sih cara pakainya kakk okayy aku tunjukin yah kalian buka dl instagram terus search theoriginote nah di section filter kalian pilih cushion filter udah deh tinggal dipaspasin sama warna kulit kamu kalau aku pas memakai shade terang neutral iya,"['bagaimana', 'sih', 'cara', 'pakainya', 'kak', 'okayy', 'aku', 'tunjukkan', 'ya', 'kalian', 'buka', 'dulu', 'instagram', 'terus', 'search', 'theoriginote', 'nah', 'di', 'section', 'filter', 'kalian', 'pilih', 'cushion', 'filter', 'sudah', 'deh', 'tinggal', 'dipaspasin', 'sama', 'warna', 'kulit', 'kamu', 'kalau', 'aku', 'pas', 'memakai', 'shade', 'terang', 'neutral', 'iya']","['bagaimana', 'sih', 'cara', 'pakai', 'kak', 'okayy', 'aku', 'tunjuk', 'ya', 'kalian', 'buka', 'dulu', 'instagram', 'terus', 'search', 'theoriginote', 'nah', 'di', 'section', 'filter', 'kalian', 'pilih', 'cushion', 'filter', 'sudah', 'deh', 'tinggal', 'dipaspasin', 'sama', 'warna', 'kulit', 'kamu', 'kalau', 'aku', 'pas', 'pakai', 'shade', 'terang', 'neutral', 'iya']","['pakai', 'kak', 'okayy', 'buka', 'instagram', 'search', 'theoriginote', 'section', 'filter', 'pilih', 'cushion', 'filter', 'deh', 'tinggal', 'dipaspasin', 'warna', 'kulit', 'pas', 'pakai', 'shade', 'terang', 'neutral', 'iya']"
akulah si bucin micellar water the originote ini udah botol ke dua otw botol ketiga. micellar water yg feels like toner karena ga bikin kering ga perih dimata udah dermatology tested dan made in best beauty factory aka COSMAX. https://t.co/feLARNOyL1 https://t.co/vf6TnbLdlG,akulah si bucin micellar water the originote ini udah botol ke dua otw botol ketiga micellar water yg feels like toner karena ga bikin kering ga perih dimata udah dermatology tested dan made in best beauty factory aka cosmax,"['akulah', 'si', 'bucin', 'micellar', 'water', 'the', 'originote', 'ini', 'sudah', 'botol', 'ke', 'dua', 'on', 'the', 'way', ',', 'sedang', 'di', 'jalan', 'botol', 'ketiga', 'micellar', 'water', 'yang', 'feels', 'like', 'toner', 'karena', 'ga', 'bikin', 'kering', 'ga', 'perih', 'dimata', 'sudah', 'dermatology', 'tested', 'dan', 'made', 'in', 'best', 'beauty', 'factory', 'dikenal', 'juga', 'sebagai', 'cosmax']","akulah si bucin micellar water the originote ini sudah botol ke dua on the way, sedang di jalan botol ketiga micellar water yang feels like toner karena ga bikin kering ga perih dimata sudah dermatology tested dan made in best beauty factory dikenal juga sebagai cosmax","['akulah', 'sih', 'bucin', 'micellar', 'water', 'the', 'originote', 'ini', 'sudah', 'botol', 'ke', 'dua', 'on', 'the', 'way', ',', 'sedang', 'di', 'jalan', 'botol', 'ketiga', 'micellar', 'water', 'yang', 'feels', 'like', 'toner', 'karena', 'enggak', 'bikin', 'kering', 'enggak', 'perih', 'dimata', 'sudah', 'dermatology', 'tested', 'dan', 'made', 'ini', 'best', 'beauty', 'factory', 'dikenal', 'juga', 'sebagai', 'cosmax']","['aku', 'sih', 'bucin', 'micellar', 'water', 'the', 'originote', 'ini', 'sudah', 'botol', 'ke', 'dua', 'on', 'the', 'way', '', 'sedang', 'di', 'jalan', 'botol', 'tiga', 'micellar', 'water', 'yang', 'feels', 'like', 'toner', 'karena', 'enggak', 'bikin', 'kering', 'enggak', 'perih', 'mata', 'sudah', 'dermatology', 'tested', 'dan', 'made', 'ini', 'best', 'beauty', 'factory', 'kenal', 'juga', 'bagai', 'cosmax']","['bucin', 'micellar', 'water', 'originote', 'botol', 'on', 'way', '', 'jalan', 'botol', 'micellar', 'water', 'feels', 'like', 'toner', 'kering', 'perih', 'mata', 'dermatology', 'tested', 'made', 'best', 'beauty', 'factory', 'kenal', 'cosmax']"
semenjak nambahin retinol ke step skincare berasa banget kulitku kelihatan lebih seger cerah dan sehat aku pke the originote ini beginners friendly pas pertama kali make kerasa cekit-cekit dikit tp pas pemakaian ke 3 udah enggak. https://t.co/HmGOWslcWS,semenjak nambahin retinol ke step skincare berasa banget kulitku kelihatan lebih seger cerah dan sehat aku pke the originote ini beginners friendly pas pertama kali make kerasa cekitcekit dikit tp pas pemakaian ke udah enggak,"['semenjak', 'nambahin', 'retinol', 'ke', 'step', 'skincare', 'berasa', 'banget', 'kulitku', 'kelihatan', 'lebih', 'seger', 'cerah', 'dan', 'sehat', 'aku', 'pke', 'the', 'originote', 'ini', 'beginners', 'friendly', 'pas', 'pertama', 'kali', 'make', 'kerasa', 'cekitcekit', 'dikit', 'tapi', 'pas', 'pemakaian', 'ke', 'sudah', 'tidak']",semenjak nambahin retinol ke step skincare berasa banget kulitku kelihatan lebih seger cerah dan sehat aku pke the originote ini beginners friendly pas pertama kali make kerasa cekitcekit dikit tapi pas pemakaian ke sudah tidak,"['semenjak', 'nambahin', 'retinol', 'ke', 'step', 'skincare', 'berasa', 'banget', 'kulitku', 'kelihatan', 'lebih', 'segar', 'cerah', 'dan', 'sehat', 'aku', 'pakai', 'the', 'originote', 'ini', 'beginners', 'friendly', 'pas', 'pertama', 'kali', 'memakai', 'kerasa', 'cekitcekit', 'dikit', 'tapi', 'pas', 'pemakaian', 'ke', 'sudah', 'tidak']","['semenjak', 'nambahin', 'retinol', 'ke', 'step', 'skincare', 'asa', 'banget', 'kulit', 'lihat', 'lebih', 'segar', 'cerah', 'dan', 'sehat', 'aku', 'pakai', 'the', 'originote', 'ini', 'beginners', 'friendly', 'pas', 'pertama', 'kali', 'pakai', 'rasa', 'cekitcekit', 'dikit', 'tapi', 'pas', 'pakai', 'ke', 'sudah', 'tidak']","['semenjak', 'nambahin', 'retinol', 'step', 'skincare', 'asa', 'banget', 'kulit', 'lihat', 'segar', 'cerah', 'sehat', 'pakai', 'originote', 'beginners', 'friendly', 'pas', 'kali', 'pakai', 'cekitcekit', 'dikit', 'pas', 'pakai']"
anyway skintype-ku normal to dry yak! tapi micellar waternya the originote cocok untuk all skin type dan sensitive skin sekalipun daya bersihnya oke banget buat bersihin lipstick matte &amp; glasting liquid lip juga oke banget: https://t.co/h2ccEymESz,anyway skintypeku normal to dry yak tapi micellar waternya the originote cocok untuk all skin type dan sensitive skin sekalipun daya bersihnya oke banget buat bersihin lipstick matte amp glasting liquid lip juga oke banget,"['anyway', 'skintypeku', 'normal', 'to', 'dry', 'yak', 'tapi', 'micellar', 'waternya', 'the', 'originote', 'cocok', 'untuk', 'all', 'skin', 'type', 'dan', 'sensitive', 'skin', 'sekalipun', 'daya', 'bersihnya', 'oke', 'banget', 'buat', 'bersihin', 'lipstick', 'matte', 'amp', 'glasting', 'liquid', 'lip', 'juga', 'oke', 'banget']",anyway skintypeku normal to dry yak tapi micellar waternya the originote cocok untuk all skin type dan sensitive skin sekalipun daya bersihnya oke banget buat bersihin lipstick matte amp glasting liquid lip juga oke banget,"['anyway', 'skintypeku', 'normal', 'tapi', 'dry', 'ya', 'tapi', 'micellar', 'waternya', 'the', 'originote', 'cocok', 'untuk', 'all', 'skin', 'type', 'dan', 'sensitive', 'skin', 'sekalipun', 'daya', 'bersihnya', 'oke', 'banget', 'buat', 'bersihin', 'lipstick', 'matte', 'amp', 'glasting', 'liquid', 'lip', 'juga', 'oke', 'banget']","['anyway', 'skintypeku', 'normal', 'tapi', 'dry', 'ya', 'tapi', 'micellar', 'waternya', 'the', 'originote', 'cocok', 'untuk', 'all', 'skin', 'type', 'dan', 'sensitive', 'skin', 'sekalipun', 'daya', 'bersih', 'oke', 'banget', 'buat', 'bersihin', 'lipstick', 'matte', 'amp', 'glasting', 'liquid', 'lip', 'juga', 'oke', 'banget']","['anyway', 'skintypeku', 'normal', 'dry', 'micellar', 'waternya', 'originote', 'cocok', 'all', 'skin', 'type', 'sensitive', 'skin', 'daya', 'bersih', 'oke', 'banget', 'bersihin', 'lipstick', 'matte', 'glasting', 'liquid', 'lip', 'oke', 'banget']"
Cek [BUY 1 GET 1] The Originote Niaceramide Sunscreen Mist SPF 50 PA++++ - Sunscreen Spray Melindungi Wajah dari Sinar Matahari dan Mencerahkan with Niacinamide Ceramide dengan harga Rp38.000. https://t.co/uZKITLamNM,cek buy get the originote niaceramide sunscreen mist spf pa sunscreen spray melindungi wajah dari sinar matahari dan mencerahkan with niacinamide ceramide dengan harga rp,"['cek', 'buy', 'get', 'the', 'originote', 'niaceramide', 'sunscreen', 'mist', 'spf', 'pa', 'sunscreen', 'spray', 'melindungi', 'wajah', 'dari', 'sinar', 'matahari', 'dan', 'mencerahkan', 'with', 'niacinamide', 'ceramide', 'dengan', 'harga', 'rp']",cek buy get the originote niaceramide sunscreen mist spf pa sunscreen spray melindungi wajah dari sinar matahari dan mencerahkan with niacinamide ceramide dengan harga rp,"['cek', 'buy', 'get', 'the', 'originote', 'niaceramide', 'sunscreen', 'mist', 'spf', 'apa', 'sunscreen', 'spray', 'melindungi', 'wajah', 'dari', 'sinar', 'matahari', 'dan', 'mencerahkan', 'with', 'niacinamide', 'ceramide', 'dengan', 'harga', 'rp']","['cek', 'buy', 'get', 'the', 'originote', 'niaceramide', 'sunscreen', 'mist', 'spf', 'apa', 'sunscreen', 'spray', 'lindung', 'wajah', 'dari', 'sinar', 'matahari', 'dan', 'cerah', 'with', 'niacinamide', 'ceramide', 'dengan', 'harga', 'rp']","['cek', 'buy', 'get', 'originote', 'niaceramide', 'sunscreen', 'mist', 'spf', 'sunscreen', 'spray', 'lindung', 'wajah', 'sinar', 'matahari', 'cerah', 'with', 'niacinamide', 'ceramide', 'harga', 'rp']"
yuuu the moment of truth yups pas banget kan shade light neutral di kulit aku gak kegelapan gak abu abu AAAAAA NYATU DAN KAWIN BANGET SAMA KULITKU BEST BANGET CUSHION ORIGINOTE https://t.co/W5wqZ1W0gX,yuuu the moment of truth yups pas banget kan shade light neutral di kulit aku gak kegelapan gak abu abu aaaaaa nyatu dan kawin banget sama kulitku best banget cushion originote,"['yuuu', 'the', 'moment', 'of', 'truth', 'yups', 'pas', 'banget', 'kan', 'shade', 'terang', 'neutral', 'di', 'kulit', 'aku', 'gak', 'kegelapan', 'gak', 'abu', 'abu', 'aaaaaa', 'nyatu', 'dan', 'kawin', 'banget', 'sama', 'kulitku', 'best', 'banget', 'cushion', 'originote']",yuuu the moment of truth yups pas banget kan shade terang neutral di kulit aku gak kegelapan gak abu abu aaaaaa nyatu dan kawin banget sama kulitku best banget cushion originote,"['yuk', 'the', 'moment', 'of', 'truth', 'yups', 'pas', 'banget', 'kan', 'shade', 'terang', 'neutral', 'di', 'kulit', 'aku', 'enggak', 'kegelapan', 'enggak', 'abu', 'abu', 'aaaaaa', 'nyatu', 'dan', 'kawin', 'banget', 'sama', 'kulitku', 'best', 'banget', 'cushion', 'originote']","['yuk', 'the', 'moment', 'of', 'truth', 'yups', 'pas', 'banget', 'kan', 'shade', 'terang', 'neutral', 'di', 'kulit', 'aku', 'enggak', 'gelap', 'enggak', 'abu', 'abu', 'aaaaaa', 'nyatu', 'dan', 'kawin', 'banget', 'sama', 'kulit', 'best', 'banget', 'cushion', 'originote']","['yuk', 'moment', 'of', 'truth', 'yups', 'pas', 'banget', 'shade', 'terang', 'neutral', 'kulit', 'gelap', 'abu', 'abu', 'aaaaaa', 'nyatu', 'kawin', 'banget', 'kulit', 'best', 'banget', 'cushion', 'originote']"
menurut kalian worth micellar water dari sea make up atau the originote?? pliss minta pendapatt,menurut kalian worth micellar water dari sea make up atau the originote pliss minta pendapatt,"['menurut', 'kalian', 'worth', 'micellar', 'water', 'dari', 'sea', 'make', 'up', 'atau', 'the', 'originote', 'pliss', 'minta', 'pendapatt']",menurut kalian worth micellar water dari sea make up atau the originote pliss minta pendapatt,"['menurut', 'kalian', 'worth', 'micellar', 'water', 'dari', 'sea', 'memakai', 'up', 'atau', 'the', 'originote', 'pliss', 'meminta', 'pendapatt']","['turut', 'kalian', 'worth', 'micellar', 'water', 'dari', 'sea', 'pakai', 'up', 'atau', 'the', 'originote', 'pliss', 'minta', 'pendapatt']","['worth', 'micellar', 'water', 'sea', 'pakai', 'up', 'originote', 'pliss', 'pendapatt']"
 The originote lip oil serum aku punya 1x jd ini ga kepake Rp. https://t.co/YaML4G0hqs WTS WTB #zonauang #zonabu #zonajajan https://t.co/JPxOIk0fLa,the originote lip oil serum aku punya jd ini ga kepake rp wts wtb,"['the', 'originote', 'lip', 'oil', 'serum', 'aku', 'punya', 'jadi', 'ini', 'ga', 'kepake', 'rp', 'wts', 'wtb']",the originote lip oil serum aku punya jadi ini ga kepake rp wts wtb,"['the', 'originote', 'lip', 'oil', 'serum', 'aku', 'punya', 'jadi', 'ini', 'enggak', 'kepake', 'rp', 'wts', 'wtb']","['the', 'originote', 'lip', 'oil', 'serum', 'aku', 'punya', 'jadi', 'ini', 'enggak', 'kepake', 'rp', 'wts', 'wtb']","['originote', 'lip', 'oil', 'serum', 'kepake', 'rp', 'wtb']"
In other side ini hasil remove makeup pakai Micellar Water dari Sea Makeup. Sama bersihnya kaya The Originote tapi agak struggle di bagian mata karena agak susah ilang. https://t.co/EJWzdDQU8y,in other side ini hasil remove makeup pakai micellar water dari sea makeup sama bersihnya kaya the originote tapi agak struggle di bagian mata karena agak susah ilang,"['in', 'other', 'side', 'ini', 'hasil', 'remove', 'makeup', 'memakai', 'micellar', 'water', 'dari', 'sea', 'makeup', 'sama', 'bersihnya', 'kaya', 'the', 'originote', 'tapi', 'agak', 'struggle', 'di', 'bagian', 'mata', 'karena', 'agak', 'susah', 'hilang']",in other side ini hasil remove makeup memakai micellar water dari sea makeup sama bersihnya kaya the originote tapi agak struggle di bagian mata karena agak susah hilang,"['ini', 'other', 'side', 'ini', 'hasil', 'remove', 'makeup', 'memakai', 'micellar', 'water', 'dari', 'sea', 'makeup', 'sama', 'bersihnya', 'kayak', 'the', 'originote', 'tapi', 'agak', 'struggle', 'di', 'bagian', 'mata', 'karena', 'agak', 'susah', 'hilang']","['ini', 'other', 'side', 'ini', 'hasil', 'remove', 'makeup', 'pakai', 'micellar', 'water', 'dari', 'sea', 'makeup', 'sama', 'bersih', 'kayak', 'the', 'originote', 'tapi', 'agak', 'struggle', 'di', 'bagi', 'mata', 'karena', 'agak', 'susah', 'hilang']","['other', 'side', 'hasil', 'remove', 'makeup', 'pakai', 'micellar', 'water', 'sea', 'makeup', 'bersih', 'kayak', 'originote', 'struggle', 'mata', 'susah', 'hilang']"
penilaianku dan urutan favorit : 1. The Originote (9 8/10) 2. Somethinc Hooman (9 5/10) 3. Wardah Colorfit (9 5/10) 4. True To Skin (9/10) based on pemakaian berkali-kali harga dan kecocokan pas kulit muka lagi dalam berbagai kondisi overall suka semua! ada plus minus ,penilaianku dan urutan favorit the originote somethinc hooman wardah colorfit true to skin based on pemakaian berkalikali harga dan kecocokan pas kulit muka lagi dalam berbagai kondisi overall suka semua ada plus minus,"['penilaianku', 'dan', 'urutan', 'favorit', 'the', 'originote', 'somethinc', 'hooman', 'wardah', 'colorfit', 'true', 'to', 'skin', 'based', 'on', 'pemakaian', 'berkalikali', 'harga', 'dan', 'kecocokan', 'pas', 'kulit', 'muka', 'lagi', 'dalam', 'berbagai', 'kondisi', 'overall', 'suka', 'semua', 'ada', 'plus', 'minus']",penilaianku dan urutan favorit the originote somethinc hooman wardah colorfit true to skin based on pemakaian berkalikali harga dan kecocokan pas kulit muka lagi dalam berbagai kondisi overall suka semua ada plus minus,"['penilaianku', 'dan', 'urutan', 'favorit', 'the', 'originote', 'somethinc', 'hooman', 'wardah', 'colorfit', 'true', 'tapi', 'skin', 'based', 'on', 'pemakaian', 'berkalikali', 'harga', 'dan', 'kecocokan', 'pas', 'kulit', 'muka', 'lagi', 'dalam', 'berbagai', 'kondisi', 'overall', 'suka', 'semua', 'ada', 'plus', 'minus']","['nilai', 'dan', 'urut', 'favorit', 'the', 'originote', 'somethinc', 'hooman', 'wardah', 'colorfit', 'true', 'tapi', 'skin', 'based', 'on', 'pakai', 'berkalikali', 'harga', 'dan', 'cocok', 'pas', 'kulit', 'muka', 'lagi', 'dalam', 'bagai', 'kondisi', 'overall', 'suka', 'semua', 'ada', 'plus', 'minus']","['nilai', 'urut', 'favorit', 'originote', 'somethinc', 'hooman', 'wardah', 'colorfit', 'true', 'skin', 'based', 'on', 'pakai', 'berkalikali', 'harga', 'cocok', 'pas', 'kulit', 'muka', 'kondisi', 'overall', 'suka', 'plus', 'minus']"
gue abis exfo td pake clay masknya the originote TBTB JERAWAT LANGSUNG MUNCUL FAK WKWKKWWK,gue abis exfo td pake clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,"['saya', 'habis', 'exfo', 'tadi', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']",saya habis exfo tadi pakai clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,"['saya', 'habis', 'exfo', 'tadi', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['saya', 'habis', 'exfo', 'tadi', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['habis', 'exfo', 'pakai', 'clay', 'masknya', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']"
-jualaness NEW bersegel The Originote Moisturizer cica only 35k. ORI yaaa exp 2027. yang minat bisa rep ya nanti aku dm. https://t.co/oIVKaOy2h4,jualaness new bersegel the originote moisturizer cica only ori yaaa exp yang minat bisa rep ya nanti aku dm,"['jualaness', 'new', 'bersegel', 'the', 'originote', 'moisturizer', 'cica', 'only', 'ori', 'yaaa', 'exp', 'yang', 'minat', 'bisa', 'rep', 'iya', 'nanti', 'aku', 'dm']",jualaness new bersegel the originote moisturizer cica only ori yaaa exp yang minat bisa rep iya nanti aku dm,"['jualaness', 'new', 'bersegel', 'the', 'originote', 'moisturizer', 'cica', 'only', 'orisinal', 'ya', 'exp', 'yang', 'minat', 'bisa', 'rep', 'iya', 'nanti', 'aku', 'dm']","['jualaness', 'new', 'segel', 'the', 'originote', 'moisturizer', 'cica', 'only', 'orisinal', 'ya', 'exp', 'yang', 'minat', 'bisa', 'rep', 'iya', 'nanti', 'aku', 'dm']","['jualaness', 'new', 'segel', 'originote', 'moisturizer', 'cica', 'only', 'orisinal', 'exp', 'minat', 'rep', 'iya', 'dm']"
wts micellar water the originote 30k aja baru dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE,wts micellar water the originote aja baru dipake,"['wts', 'micellar', 'water', 'the', 'originote', 'saja', 'baru', 'dipake']",wts micellar water the originote saja baru dipake,"['wts', 'micellar', 'water', 'the', 'originote', 'saja', 'baru', 'dipakai']","['wts', 'micellar', 'water', 'the', 'originote', 'saja', 'baru', 'pakai']","['micellar', 'water', 'originote', 'pakai']"
