full_text,Text Case Folding,Text Tokenizing,Text Normalization,Text Stemming,Text Filtering
cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,"['cosrx', 'bagus', 'bgt', 'ya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'bgt', 'ya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'bgt', 'ya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'bgt', 'bjir', 'takut', 'gabisa', 'originote']"
micellar water originote enak parah woy mana gede ,micellar water originote enak parah woy mana gede,"['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'gede']"
ORIGINOTE SEMOGA ELU KAGA DRAMA ,originote semoga elu kaga drama,"['originote', 'semoga', 'elu', 'kaga', 'drama']","['originote', 'semoga', 'elu', 'kaga', 'drama']","['originote', 'moga', 'elu', 'kaga', 'drama']","['originote', 'moga', 'elu', 'kaga', 'drama']"
pengen pindah mois ke originote brightening gi bokek abiss:((,pengen pindah mois ke originote brightening gi bokek abiss,"['pengen', 'pindah', 'mois', 'ke', 'originote', 'brightening', 'gi', 'bokek', 'abiss']","['pengen', 'pindah', 'mois', 'ke', 'originote', 'brightening', 'gi', 'bokek', 'abiss']","['ken', 'pindah', 'mois', 'ke', 'originote', 'brightening', 'gi', 'bokek', 'abiss']","['pindah', 'mois', 'originote', 'brightening', 'gi', 'bokek', 'abiss']"
1. The Originote https://t.co/itI48pZQXK (+) Coverage MANTULITA Oksidasi Minim Harga MURCEUUU Packaging Kokoh Skincare infused (Hydrating) Shade BANYAK!! (-) Puff nya kurang empuk dan bentuknya kurang suka:( https://t.co/o9PZsKulfM,the originote coverage mantulita oksidasi minim harga murceuuu packaging kokoh skincare infused hydrating shade banyak puff nya kurang empuk dan bentuknya kurang suka,"['the', 'originote', 'coverage', 'mantulita', 'oksidasi', 'minim', 'harga', 'murceuuu', 'packaging', 'kokoh', 'skincare', 'infused', 'hydrating', 'shade', 'banyak', 'puff', 'nya', 'kurang', 'empuk', 'dan', 'bentuknya', 'kurang', 'suka']","['the', 'originote', 'coverage', 'mantulita', 'oksidasi', 'minim', 'harga', 'murceuuu', 'packaging', 'kokoh', 'skincare', 'infused', 'hydrating', 'shade', 'banyak', 'puff', 'nya', 'kurang', 'empuk', 'dan', 'bentuknya', 'kurang', 'suka']","['the', 'originote', 'coverage', 'mantulita', 'oksidasi', 'minim', 'harga', 'murceuuu', 'packaging', 'kokoh', 'skincare', 'infused', 'hydrating', 'shade', 'banyak', 'puff', 'nya', 'kurang', 'empuk', 'dan', 'bentuk', 'kurang', 'suka']","['the', 'originote', 'coverage', 'mantulita', 'oksidasi', 'minim', 'harga', 'murceuuu', 'packaging', 'kokoh', 'skincare', 'infused', 'hydrating', 'shade', 'puff', 'empuk', 'bentuk', 'suka']"
@berrypeachsweet Kak mw originote masii ada ga??,kak mw originote masii ada ga,"['kak', 'mw', 'originote', 'masii', 'ada', 'ga']","['kak', 'mw', 'originote', 'masii', 'ada', 'ga']","['kak', 'mw', 'originote', 'masii', 'ada', 'ga']","['kak', 'mw', 'originote', 'masii']"
Mayan sekale pas bgt stock abis hehe tadi fs jam 12 keknya masih fs the originote df https://t.co/WWmOozG41K,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,"['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'hehe', 'tadi', 'fs', 'jam', 'keknya', 'masih', 'fs', 'the', 'originote', 'df']","['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'hehe', 'tadi', 'fs', 'jam', 'keknya', 'masih', 'fs', 'the', 'originote', 'df']","['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'hehe', 'tadi', 'fs', 'jam', 'kek', 'masih', 'fs', 'the', 'originote', 'df']","['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'fs', 'jam', 'kek', 'fs', 'the', 'originote', 'df']"
Sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener2 nyiksa bgtttt,sunscreen spraynya originote perih bgt di mata anj seharian mata  berair krn perih apalagi pas td lg kelas bener nyiksa bgtttt,"['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'di', 'mata', 'anj', 'seharian', 'mata', 'berair', 'krn', 'perih', 'apalagi', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']","['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'di', 'mata', 'anj', 'seharian', 'mata', 'berair', 'krn', 'perih', 'apalagi', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']","['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'di', 'mata', 'anj', 'hari', 'mata', 'air', 'krn', 'perih', 'apalagi', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']","['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'mata', 'anj', 'mata', 'air', 'perih', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']"
Wts Preloved The Originote Cushion Harga 55k Shade : Light Warm Alasan jual karena salah shade baru dipake dua tap-tap buat semuka. Link oren https://t.co/EVCuzoTsGw Ada shopee video cari aja di profilku. #zonajajan #zonaBA #zonaBU #zonauang https://t.co/oavKqDy8WY,wts preloved the originote cushion harga  shade light warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari aja di profilku,"['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alasan', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'semuka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'aja', 'di', 'profilku']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alasan', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'semuka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'aja', 'di', 'profilku']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alas', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'muka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'aja', 'di', 'profil']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alas', 'jual', 'salah', 'shade', 'dipake', 'taptap', 'muka', 'link', 'oren', 'shopee', 'video', 'cari', 'profil']"
guys mending micella water facetology atau the originote ya? tolong minta reviewnya dong mau co bingung banget antara dua ini huhu https://t.co/4npytWreVT,guys mending micella water facetology atau the originote ya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,"['guys', 'mending', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'ya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['guys', 'mending', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'ya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['guys', 'mending', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'ya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['guys', 'mending', 'micella', 'water', 'facetology', 'the', 'originote', 'tolong', 'reviewnya', 'co', 'bingung', 'banget', 'huhu']"
babi juga ni originote gw mau hemat tp dia bikin promo b1g1 tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt?!,babi juga ni originote gw mau hemat tp dia bikin promo bg tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt,"['babi', 'juga', 'ni', 'originote', 'gw', 'mau', 'hemat', 'tp', 'dia', 'bikin', 'promo', 'bg', 'tapi', 'sbnrnya', 'gw', 'lagi', 'ga', 'butuh', 'gt', 'tapi', 'kyk', 'lumayan', 'bgt']","['babi', 'juga', 'ni', 'originote', 'gw', 'mau', 'hemat', 'tp', 'dia', 'bikin', 'promo', 'bg', 'tapi', 'sbnrnya', 'gw', 'lagi', 'ga', 'butuh', 'gt', 'tapi', 'kyk', 'lumayan', 'bgt']","['babi', 'juga', 'ni', 'originote', 'gw', 'mau', 'hemat', 'tp', 'dia', 'bikin', 'promo', 'bg', 'tapi', 'sbnrnya', 'gw', 'lagi', 'ga', 'butuh', 'gt', 'tapi', 'kyk', 'lumayan', 'bgt']","['babi', 'ni', 'originote', 'gw', 'hemat', 'tp', 'promo', 'bg', 'sbnrnya', 'gw', 'butuh', 'gt', 'kyk', 'lumayan', 'bgt']"
 untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja. the originote sea makeup https://t.co/WiwWkpSQ9L,untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja the originote sea makeup,"['untuk', 'kedua', 'mw', 'ini', 'dari', 'segi', 'remover', 'kalo', 'eyeliner', 'bisa', 'keangkat', 'tapi', 'kalo', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'menurutku', 'itu', 'normal', 'ya', 'better', 'kalo', 'mau', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'aja', 'the', 'originote', 'sea', 'makeup']","['untuk', 'kedua', 'mw', 'ini', 'dari', 'segi', 'remover', 'kalo', 'eyeliner', 'bisa', 'keangkat', 'tapi', 'kalo', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'menurutku', 'itu', 'normal', 'ya', 'better', 'kalo', 'mau', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'aja', 'the', 'originote', 'sea', 'makeup']","['untuk', 'dua', 'mw', 'ini', 'dari', 'segi', 'remover', 'kalo', 'eyeliner', 'bisa', 'angkat', 'tapi', 'kalo', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'turut', 'itu', 'normal', 'ya', 'better', 'kalo', 'mau', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'aja', 'the', 'originote', 'sea', 'makeup']","['mw', 'segi', 'remover', 'eyeliner', 'angkat', 'maskara', 'waterproof', 'sisa', 'sisa', 'normal', 'better', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'the', 'originote', 'sea', 'makeup']"
shocked bgt cushion the originote bagus bgt untuk first impression,shocked bgt cushion the originote bagus bgt untuk first impression,"['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'untuk', 'first', 'impression']","['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'untuk', 'first', 'impression']","['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'untuk', 'first', 'impression']","['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'first', 'impression']"
step 1 pake compexion! ak pake cushion the originote‍️ ini coveragenya mantep banget kebetulan aku lagi ada beberapa PIH makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah.. blendnya pelan2 aja dia gampang ko ga ngeblok.. sabar aja ngeblendnya jgn buru2 https://t.co/NUDo9H82y0,step pake compexion ak pake cushion the originote ini coveragenya mantep banget kebetulan aku lagi ada beberapa pih makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah blendnya pelan aja dia gampang ko ga ngeblok sabar aja ngeblendnya jgn buru,"['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantep', 'banget', 'kebetulan', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pake', 'inii', 'soalnya', 'one', 'tap', 'udah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'aja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'aja', 'ngeblendnya', 'jgn', 'buru']","['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantep', 'banget', 'kebetulan', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pake', 'inii', 'soalnya', 'one', 'tap', 'udah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'aja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'aja', 'ngeblendnya', 'jgn', 'buru']","['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantep', 'banget', 'betul', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pake', 'ini', 'soal', 'one', 'tap', 'udah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'aja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'aja', 'ngeblendnya', 'jgn', 'buru']","['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'coveragenya', 'mantep', 'banget', 'pih', 'cocok', 'banget', 'pake', 'one', 'tap', 'udah', 'cover', 'wajah', 'blendnya', 'pelan', 'gampang', 'ko', 'ngeblok', 'sabar', 'ngeblendnya', 'buru']"
[PRELOVED] the Originote: Toner Serum Moisturizer Lip Oil Serum NEGOTIABLE Tembalang Semarang Jawa Tengah https://t.co/INwQY4JI8d https://t.co/GEuuqm3Ooq,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,"['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa']"
Ngiler cushion originote wkwk,ngiler cushion originote wkwk,"['ngiler', 'cushion', 'originote', 'wkwk']","['ngiler', 'cushion', 'originote', 'wkwk']","['ngiler', 'cushion', 'originote', 'wkwk']","['ngiler', 'cushion', 'originote', 'wkwk']"
@undipmenfess bisa sopi !!! The Originote 32k ajaaaa https://t.co/hjcoTAKOx7,bisa sopi the originote  ajaaaa,"['bisa', 'sopi', 'the', 'originote', 'ajaaaa']","['bisa', 'sopi', 'the', 'originote', 'ajaaaa']","['bisa', 'sopi', 'the', 'originote', 'ajaaaa']","['sopi', 'the', 'originote', 'ajaaaa']"
AHA BHA originote enak bgt woy pen w makan lmlm ky manis bgt,aha bha originote enak bgt woy pen  makan lmlm ky manis bgt,"['aha', 'bha', 'originote', 'enak', 'bgt', 'woy', 'pen', 'makan', 'lmlm', 'ky', 'manis', 'bgt']","['aha', 'bha', 'originote', 'enak', 'bgt', 'woy', 'pen', 'makan', 'lmlm', 'ky', 'manis', 'bgt']","['aha', 'bha', 'originote', 'enak', 'bgt', 'woy', 'pen', 'makan', 'lmlm', 'ky', 'manis', 'bgt']","['aha', 'bha', 'originote', 'enak', 'bgt', 'woy', 'makan', 'lmlm', 'ky', 'manis', 'bgt']"
bintang 1 buat mba² spg make-up di lu*es yg tdi tak tanyain moist originote ulatane rapenak tenan badalah apa aku terlihat seperti org yg gabisa beli make-up disono?! dah paling bener beli di guardian ajalah,bintang buat mba spg makeup di lues yg tdi tak tanyain moist originote ulatane rapenak tenan badalah apa aku terlihat seperti org yg gabisa beli makeup disono dah paling bener beli di guardian ajalah,"['bintang', 'buat', 'mba', 'spg', 'makeup', 'di', 'lues', 'yg', 'tdi', 'tak', 'tanyain', 'moist', 'originote', 'ulatane', 'rapenak', 'tenan', 'badalah', 'apa', 'aku', 'terlihat', 'seperti', 'org', 'yg', 'gabisa', 'beli', 'makeup', 'disono', 'dah', 'paling', 'bener', 'beli', 'di', 'guardian', 'ajalah']","['bintang', 'buat', 'mba', 'spg', 'makeup', 'di', 'lues', 'yg', 'tdi', 'tak', 'tanyain', 'moist', 'originote', 'ulatane', 'rapenak', 'tenan', 'badalah', 'apa', 'aku', 'terlihat', 'seperti', 'org', 'yg', 'gabisa', 'beli', 'makeup', 'disono', 'dah', 'paling', 'bener', 'beli', 'di', 'guardian', 'ajalah']","['bintang', 'buat', 'mba', 'spg', 'makeup', 'di', 'lues', 'yg', 'tdi', 'tak', 'tanyain', 'moist', 'originote', 'ulatane', 'rapenak', 'tenan', 'bada', 'apa', 'aku', 'lihat', 'seperti', 'org', 'yg', 'gabisa', 'beli', 'makeup', 'sono', 'dah', 'paling', 'bener', 'beli', 'di', 'guardian', 'aja']","['bintang', 'mba', 'spg', 'makeup', 'lues', 'tdi', 'tanyain', 'moist', 'originote', 'ulatane', 'rapenak', 'tenan', 'bada', 'lihat', 'org', 'gabisa', 'beli', 'makeup', 'sono', 'dah', 'bener', 'beli', 'guardian']"
sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,"['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']"
The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,"['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukur', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukur', 'gede', 'ml', 'rb', 'an', 'combo', 'kode', 'glowdm']"
baru tau owner the originote dosen kecantikkan anjir,baru tau owner the originote dosen kecantikkan anjir,"['baru', 'tau', 'owner', 'the', 'originote', 'dosen', 'kecantikkan', 'anjir']","['baru', 'tau', 'owner', 'the', 'originote', 'dosen', 'kecantikkan', 'anjir']","['baru', 'tau', 'owner', 'the', 'originote', 'dosen', 'cantik', 'anjir']","['owner', 'the', 'originote', 'dosen', 'cantik', 'anjir']"
FAAKKK MOIST ORIGINOTE JADI 10RB PAS GUE UDAH CO HARGA 20RB ,faakkk moist originote jadi rb pas gue udah co harga rb,"['faakkk', 'moist', 'originote', 'jadi', 'rb', 'pas', 'gue', 'udah', 'co', 'harga', 'rb']","['faakkk', 'moist', 'originote', 'jadi', 'rb', 'pas', 'gue', 'udah', 'co', 'harga', 'rb']","['faakkk', 'moist', 'originote', 'jadi', 'rb', 'pas', 'gue', 'udah', 'co', 'harga', 'rb']","['faakkk', 'moist', 'originote', 'rb', 'pas', 'gue', 'udah', 'co', 'harga', 'rb']"
nyoba cica b5 shooting mois nya originote ,nyoba cica  shooting mois nya originote,"['nyoba', 'cica', 'shooting', 'mois', 'nya', 'originote']","['nyoba', 'cica', 'shooting', 'mois', 'nya', 'originote']","['nyoba', 'cica', 'shooting', 'mois', 'nya', 'originote']","['nyoba', 'cica', 'shooting', 'mois', 'originote']"
gais kalian kalau yg mau beli originote di jangan di toko BeautyBestieYou itu KW gaiss di produknya emg review ⭐5 semua tapi tenyata yang ⭐1 tuh di hide https://t.co/o1EPmQKq5q,gais kalian kalau yg mau beli originote di jangan di toko beautybestieyou itu kw gaiss di produknya emg review semua tapi tenyata yang tuh di hide,"['gais', 'kalian', 'kalau', 'yg', 'mau', 'beli', 'originote', 'di', 'jangan', 'di', 'toko', 'beautybestieyou', 'itu', 'kw', 'gaiss', 'di', 'produknya', 'emg', 'review', 'semua', 'tapi', 'tenyata', 'yang', 'tuh', 'di', 'hide']","['gais', 'kalian', 'kalau', 'yg', 'mau', 'beli', 'originote', 'di', 'jangan', 'di', 'toko', 'beautybestieyou', 'itu', 'kw', 'gaiss', 'di', 'produknya', 'emg', 'review', 'semua', 'tapi', 'tenyata', 'yang', 'tuh', 'di', 'hide']","['gais', 'kalian', 'kalau', 'yg', 'mau', 'beli', 'originote', 'di', 'jangan', 'di', 'toko', 'beautybestieyou', 'itu', 'kw', 'gaiss', 'di', 'produk', 'emg', 'review', 'semua', 'tapi', 'tenyata', 'yang', 'tuh', 'di', 'hide']","['gais', 'beli', 'originote', 'toko', 'beautybestieyou', 'kw', 'gaiss', 'produk', 'review', 'tenyata', 'hide']"
test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep? trs the only cream blush lokal yg bnr2 tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya https://t.co/o98CypwrLA,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep trs the only cream blush lokal yg bnr tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya,"['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukannya', 'kusam', 'malah', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'yg', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'sejauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukannya', 'kusam', 'malah', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'yg', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'sejauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukan', 'kusam', 'malah', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'yg', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'jauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'sore', 'kusam', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'mop']"
@berrypeachsweet kak mw originote masih?,kak mw originote masih,"['kak', 'mw', 'originote', 'masih']","['kak', 'mw', 'originote', 'masih']","['kak', 'mw', 'originote', 'masih']","['kak', 'mw', 'originote']"
Lip oilnya originote bagus banget,lip oilnya originote bagus banget,"['lip', 'oilnya', 'originote', 'bagus', 'banget']","['lip', 'oilnya', 'originote', 'bagus', 'banget']","['lip', 'oilnya', 'originote', 'bagus', 'banget']","['lip', 'oilnya', 'originote', 'bagus', 'banget']"
sunscreennya the originote baunya gaenak anjir,sunscreennya the originote baunya gaenak anjir,"['sunscreennya', 'the', 'originote', 'baunya', 'gaenak', 'anjir']","['sunscreennya', 'the', 'originote', 'baunya', 'gaenak', 'anjir']","['sunscreennya', 'the', 'originote', 'bau', 'gaenak', 'anjir']","['sunscreennya', 'the', 'originote', 'bau', 'gaenak', 'anjir']"
sumpah aku perih bgt pake micellar water the originate,sumpah aku perih bgt pake micellar water the originate,"['sumpah', 'aku', 'perih', 'bgt', 'pake', 'micellar', 'water', 'the', 'originate']","['sumpah', 'aku', 'perih', 'bgt', 'pake', 'micellar', 'water', 'the', 'originate']","['sumpah', 'aku', 'perih', 'bgt', 'pake', 'micellar', 'water', 'the', 'originate']","['sumpah', 'perih', 'bgt', 'pake', 'micellar', 'water', 'the', 'originate']"
 Buat ngebersihin make up mantul yang mana bil? Dua-duanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepet ngebersihinnya sedangkan the originote daya bersihnya lebih oke. Tapi untuk maskara yang bener-bener waterproof dua mw gentong ini harus dipake https://t.co/YSK6QSAAPD,buat ngebersihin make up mantul yang mana bil duaduanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepet ngebersihinnya sedangkan the originote daya bersihnya lebih oke tapi untuk maskara yang benerbener waterproof dua mw gentong ini harus dipake,"['buat', 'ngebersihin', 'make', 'up', 'mantul', 'yang', 'mana', 'bil', 'duaduanya', 'oke', 'yaa', 'buat', 'ngehapus', 'make', 'up', 'effortless', 'juga', 'sea', 'make', 'up', 'lebih', 'cepet', 'ngebersihinnya', 'sedangkan', 'the', 'originote', 'daya', 'bersihnya', 'lebih', 'oke', 'tapi', 'untuk', 'maskara', 'yang', 'benerbener', 'waterproof', 'dua', 'mw', 'gentong', 'ini', 'harus', 'dipake']","['buat', 'ngebersihin', 'make', 'up', 'mantul', 'yang', 'mana', 'bil', 'duaduanya', 'oke', 'yaa', 'buat', 'ngehapus', 'make', 'up', 'effortless', 'juga', 'sea', 'make', 'up', 'lebih', 'cepet', 'ngebersihinnya', 'sedangkan', 'the', 'originote', 'daya', 'bersihnya', 'lebih', 'oke', 'tapi', 'untuk', 'maskara', 'yang', 'benerbener', 'waterproof', 'dua', 'mw', 'gentong', 'ini', 'harus', 'dipake']","['buat', 'ngebersihin', 'make', 'up', 'mantul', 'yang', 'mana', 'bil', 'duaduanya', 'oke', 'yaa', 'buat', 'ngehapus', 'make', 'up', 'effortless', 'juga', 'sea', 'make', 'up', 'lebih', 'cepet', 'ngebersihinnya', 'sedang', 'the', 'originote', 'daya', 'bersih', 'lebih', 'oke', 'tapi', 'untuk', 'maskara', 'yang', 'benerbener', 'waterproof', 'dua', 'mw', 'gentong', 'ini', 'harus', 'dipake']","['ngebersihin', 'make', 'up', 'mantul', 'bil', 'duaduanya', 'oke', 'yaa', 'ngehapus', 'make', 'up', 'effortless', 'sea', 'make', 'up', 'cepet', 'ngebersihinnya', 'the', 'originote', 'daya', 'bersih', 'oke', 'maskara', 'benerbener', 'waterproof', 'mw', 'gentong', 'dipake']"
The originote atau skintific CUUUYYYYY ,the originote atau skintific cuuuyyyyy,"['the', 'originote', 'atau', 'skintific', 'cuuuyyyyy']","['the', 'originote', 'atau', 'skintific', 'cuuuyyyyy']","['the', 'originote', 'atau', 'skintific', 'cuuuyyyyy']","['the', 'originote', 'skintific', 'cuuuyyyyy']"
